rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/learning_rate,train/clip_fraction,train/entropy_loss,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/policy_gradient_loss,train/std,train/approx_kl,train/value_loss,eval/mean_reward,eval/mean_ep_length
8.887061025,446.1,929,1,20480,22,,,,,,,,,,,,,
8.966905761904762,454.54761904761904,548,2,40960,74,0.0001,0.082626953125,-4.251570069789887,-0.5451468229293823,5,0.015,-0.3474847376346588,-0.3397086141258478,0.9973921775817871,5.8671623e-05,0.004028146115597337,,
,,,,50000,,0.0001,0.082705078125,-4.24399766087532,0.6516075134277344,10,0.015,-0.274109423160553,-0.27116286553442476,0.9947876930236816,5.9277234e-05,0.003826879154366907,11.559691,563.0
9.290601469999999,468.08,452,3,61440,135,,,,,,,,,,,,,
9.39344944,474.13,436,4,81920,187,0.0001,0.115693359375,-4.235669946670532,0.8255942463874817,15,0.015,-0.22996577620506287,-0.2230858378857374,0.9923233985900879,7.9660414e-05,0.003616990221780725,,
,,,,100000,,0.0001,0.105927734375,-4.228010269403458,0.9053495526313782,20,0.015,-0.1812683492898941,-0.17351464182138443,0.9894315600395203,6.719282e-05,0.00329450518329395,12.073536,552.0
9.50404416,464.82,386,5,102400,264,,,,,,,,,,,,,
9.71631605,461.09,353,6,122880,347,0.0001,0.138896484375,-4.219940034151077,0.9186843037605286,25,0.015,-0.15422292053699493,-0.1540991485491395,0.9873077273368835,8.318634e-05,0.003239787496277131,,
9.87713219,460.45,352,7,143360,406,0.0001,0.134892578125,-4.213301787376404,0.9476585388183594,30,0.015,-0.1230221763253212,-0.12293744152411819,0.9850380420684814,7.127244e-05,0.004153178150299936,,
,,,,150000,,0.0001,0.149208984375,-4.206274024248123,0.9596455097198486,35,0.015,-0.10601571202278137,-0.10749710213392973,0.9827516078948975,7.766801e-05,0.00414900295145344,11.921488,518.0
9.761138019999999,453.42,343,8,163840,476,,,,,,,,,,,,,
9.42575166,439.83,340,9,184320,542,0.0001,0.155478515625,-4.199854501485825,0.9700505137443542,40,0.015,-0.08134034276008606,-0.08290309580042958,0.9806671738624573,7.520185e-05,0.004138728799298406,,
,,,,200000,,0.0001,0.186103515625,-4.192568948268891,0.9731971621513367,45,0.015,-0.07187633216381073,-0.072154838507995,0.9783738255500793,8.8515684e-05,0.004166433882783167,11.445632,487.0
9.55428544,441.06,318,10,204800,643,,,,,,,,,,,,,
9.67549409,435.68,305,11,225280,738,0.0001,0.188271484375,-4.186547634601593,0.974557101726532,50,0.015,-0.05910245329141617,-0.0592182439006865,0.9763129353523254,8.5562526e-05,0.0045219936198554935,,
9.64689553,434.22,286,12,245760,857,0.0001,0.188916015625,-4.180349537134171,0.9769543409347534,55,0.015,-0.035973235964775085,-0.04232761667575687,0.9746451377868652,8.381534e-05,0.004605281899566762,,
,,,,250000,,0.0001,0.1878125,-4.177420861721039,0.9789912700653076,60,0.015,-0.028746526688337326,-0.034586622705683114,0.9737321734428406,8.060985e-05,0.0046707190078450365,10.674968,447.0
9.706849339999998,441.08,279,13,266240,951,,,,,,,,,,,,,
9.771866560000001,435.78,275,14,286720,1040,0.0001,0.193017578125,-4.174263184070587,0.9827924370765686,65,0.015,-0.026368118822574615,-0.028723806492052972,0.9728944897651672,8.035661e-05,0.00407893565192353,,
,,,,300000,,0.0001,0.208759765625,-4.172105256319046,0.9825112223625183,70,0.015,-0.018801726400852203,-0.023349986490793527,0.9721112251281738,8.855042e-05,0.0039740642055403445,10.293982,428.0
9.6579129,422.85,271,15,307200,1131,,,,,,,,,,,,,
9.66846547,423.47,269,16,327680,1214,0.0001,0.21654296875,-4.170296736955643,0.984135627746582,75,0.015,-0.0208573117852211,-0.017963838544092142,0.9715890884399414,9.2195434e-05,0.003969811694114469,,
9.72021295,422.24,266,17,348160,1305,0.0001,0.223076171875,-4.169387210607528,0.9865174889564514,80,0.015,-0.008483454585075378,-0.014442100219894201,0.9714069366455078,0.00010162784,0.003741845665499568,,
,,,,350000,,0.0001,0.2172265625,-4.168603399991989,0.9873010516166687,85,0.015,-0.010298816487193108,-0.014437550969887525,0.970963716506958,9.320952e-05,0.00348710099759046,9.764853,401.0
9.82894041,422.21,266,18,368640,1384,,,,,,,,,,,,,
9.74228288,416.24,262,19,389120,1480,0.0001,0.222568359375,-4.167022377252579,0.9881331920623779,90,0.015,-0.006791062653064728,-0.009926578315207735,0.9706249237060547,9.2183334e-05,0.0032358376018237324,,
,,,,400000,,0.0001,0.22892578125,-4.167274912595749,0.989414393901825,95,0.015,-0.0033860430121421814,-0.0068253613467095416,0.9708474278450012,9.6836295e-05,0.0031415460648713633,9.539492,390.0
9.57281618,406.52,259,20,409600,1576,,,,,,,,,,,,,
9.492395360000002,400.15,257,21,430080,1669,0.0001,0.237705078125,-4.16970257639885,0.9906632900238037,100,0.015,-0.005756361410021782,-0.0020640137729969867,0.9715307354927063,9.4974086e-05,0.0028570292031508873,,
,,,,450000,,0.0001,0.247978515625,-4.171336988210678,0.9908936619758606,105,0.015,-0.0020165578462183475,-0.0018809404402418295,0.9721609950065613,0.00011140995,0.0027139364325557834,9.304438,378.0
9.36222246,393.64,255,22,450560,1763,,,,,,,,,,,,,
9.30301912,389.87,253,23,471040,1859,0.0001,0.23841796875,-4.174822781085968,0.991431713104248,110,0.015,0.00472401175647974,0.002744951587628748,0.9734806418418884,0.00010768303,0.0026377893265453166,,
9.30950916,387.88,251,24,491520,1952,0.0001,0.247421875,-4.17804826259613,0.9934773445129395,115,0.015,0.00019682454876601696,-0.0005873727785001392,0.9743292331695557,0.000115073344,0.0022503550484543667,,
,,,,500000,,0.0001,0.23947265625,-4.180425368547439,0.9934309124946594,120,0.015,0.002883457113057375,-0.00010275495609676,0.9752624034881592,0.000119178716,0.0023141792259411885,9.001139,363.0
9.21383416,382.04,251,25,512000,2037,,,,,,,,,,,,,
9.09022929,375.37,248,26,532480,2144,0.0001,0.25150390625,-4.183054472208023,0.9937407374382019,125,0.015,-0.0026934980414807796,-0.0028121825897687814,0.9761934280395508,0.00012376977,0.0021799979548086414,,
,,,,550000,,0.0001,0.259501953125,-4.185342814922333,0.9936781525611877,130,0.015,-0.0034102830104529858,-0.003262133158132201,0.9768183827400208,0.00014639762,0.0020727441980852744,8.813741,354.0
9.073702560000001,372.98,247,27,552960,2238,,,,,,,,,,,,,
9.075096,372.84,245,28,573440,2337,0.0001,0.25392578125,-4.188581490516663,0.9948354959487915,135,0.015,-0.008236637338995934,-0.003131137578675407,0.9778210520744324,0.00012089498,0.0018596108179190197,,
9.06160705,371.11,244,29,593920,2427,0.0001,0.24818359375,-4.190498346090317,0.994952380657196,140,0.015,-0.00993352010846138,-0.006580769663996761,0.9781224727630615,0.00012519525,0.0017993294901680202,,
,,,,600000,,0.0001,0.252744140625,-4.1906416380405425,0.9952569603919983,145,0.015,-0.008549876511096954,-0.007301559078041464,0.9784224629402161,0.00013642166,0.0017004124855156987,8.533573,340.0
8.73106323,354.94,243,30,614400,2527,,,,,,,,,,,,,
8.682264159999999,352.31,242,31,634880,2614,0.0001,0.260517578125,-4.1924955892562865,0.9954304099082947,150,0.015,-0.011356697417795658,-0.009611748108873143,0.9787641167640686,0.00015194537,0.0016032733458268922,,
,,,,650000,,0.0001,0.254912109375,-4.193065578937531,0.9959074854850769,155,0.015,-0.010387520305812359,-0.00901939291798044,0.9789846539497375,0.0001273622,0.0014881405398773494,8.482098,337.0
8.67170595,351.45,241,32,655360,2711,,,,,,,,,,,,,
8.63959672,349.94,241,33,675840,2803,0.0001,0.25369140625,-4.192542953491211,0.9962610602378845,160,0.015,-0.007565844804048538,-0.008619562455569394,0.9789235591888428,0.00011736389,0.001388060231693089,,
8.62508854,349.14,241,34,696320,2888,0.0001,0.261630859375,-4.192792057991028,0.9961901903152466,165,0.015,-0.012843618169426918,-0.009820756803965196,0.9788907170295715,0.00014350255,0.0013856822476373055,,
,,,,700000,,0.0001,0.275244140625,-4.192761971950531,0.9958713054656982,170,0.015,-0.008638517931103706,-0.006486849573848303,0.9790557026863098,0.00014067328,0.0014751213714771438,8.458104,336.0
8.69591538,352.21,240,35,716800,2982,,,,,,,,,,,,,
8.67001151,350.7,240,36,737280,3068,0.0001,0.27890625,-4.193655031919479,0.9962964653968811,175,0.015,-0.006090040318667889,-0.005545254099124577,0.9795846939086914,0.00017145654,0.0014005298836855219,,
,,,,750000,,0.0001,0.2805859375,-4.198725146055222,0.9962067604064941,180,0.015,-0.0012693118769675493,0.0006044328771167784,0.9812265038490295,0.00014319972,0.0013513386210252066,8.383046,332.0
8.71554903,353.2,238,37,757760,3171,,,,,,,,,,,,,
8.621835169999999,348.18,239,38,778240,3252,0.0001,0.307548828125,-4.20382390499115,0.9960620403289795,185,0.015,0.004072248935699463,0.004135906116425758,0.9831482768058777,0.00016518593,0.001388946268853033,,
8.519518510000001,342.68,238,39,798720,3346,0.0001,0.293583984375,-4.207655000686645,0.9966253638267517,190,0.015,-0.0004920309875160456,6.790554398321547e-05,0.9840837121009827,0.00016251454,0.0013367976945301051,,
,,,,800000,,0.0001,0.311142578125,-4.21202174782753,0.996849000453949,195,0.015,-0.0013630867470055819,-0.0027340891827952875,0.9856001734733582,0.00019167064,0.0012647651031147688,8.204646,323.0
8.42656381,338.62,238,40,819200,3439,,,,,,,,,,,,,
8.36056816,335.33,237,41,839680,3529,0.0001,0.318046875,-4.216379655599594,0.9968205690383911,200,0.015,0.0004849601536989212,0.001848484953334264,0.9872474670410156,0.00019867392,0.0013202516033197754,,
,,,,850000,,0.0001,0.319267578125,-4.224352594614029,0.9971899390220642,205,0.015,-0.0024851211346685886,0.003597113215546415,0.9896143078804016,0.00018799587,0.0011515916607459076,8.118553,319.0
8.43047264,338.24,237,42,860160,3620,,,,,,,,,,,,,
8.348223749999999,333.94,237,43,880640,3711,0.0001,0.308388671875,-4.22882318854332,0.9971789717674255,210,0.015,0.00015854602679610252,0.0003751643457690079,0.9912850260734558,0.00018860913,0.0011755572457332164,,
,,,,900000,,0.0001,0.31328125,-4.23353079199791,0.9974271655082703,215,0.015,0.003145678900182247,0.003620808868072345,0.9929030537605286,0.00022951094,0.0010812644074030687,7.93678,310.0
8.250562710000002,328.94,237,44,901120,3801,,,,,,,,,,,,,
8.1507897,324.01,237,45,921600,3876,0.0001,0.3072265625,-4.237822386026383,0.9974002838134766,220,0.015,-0.0051827202551066875,-0.0013745842305434052,0.9940979480743408,0.00017720289,0.0010567635582992808,,
8.029163780000001,318.09,237,46,942080,3974,0.0001,0.3142578125,-4.241767208576203,0.9976680278778076,225,0.015,-0.004156491719186306,-0.00025583135497072364,0.9952794909477234,0.00018362523,0.001024159414373571,,
,,,,950000,,0.0001,0.30455078125,-4.245490926504135,0.9976235628128052,230,0.015,5.390052683651447e-05,0.0005965350395490532,0.9968442916870117,0.00019701643,0.0010139582079136745,7.759557,301.0
7.947190869999999,313.7,235,47,962560,4086,,,,,,,,,,,,,
7.978466630000001,315.11,235,48,983040,4174,0.0001,0.322060546875,-4.25097359418869,0.9980081915855408,235,0.015,-0.0024283784441649914,-0.0011952259439021874,0.9982020258903503,0.00019890652,0.0009911905560875311,,
,,,,1000000,,0.0001,0.328115234375,-4.254076932668686,0.9976952075958252,240,0.015,-0.0069009652361273766,-0.0015039660813999944,0.9994144439697266,0.00022271807,0.0009400512652064208,7.594372,293.0
7.894437389999999,310.89,234,49,1003520,4285,,,,,,,,,,,,,
7.848611750000001,308.54,233,50,1024000,4388,0.0001,0.33587890625,-4.258423267602921,0.997856616973877,245,0.015,-0.006170983426272869,-0.0025874026455858256,1.0008105039596558,0.00023381012,0.0009329612254805397,,
